episode,return,length,critic_loss
1,-948.041211,324,0.0
2,-1265.624711,126,0.0
3,-1337.181684,94,0.0
4,-956.770523,295,0.0
5,-1143.780658,201,5831.09765625
6,-381.320871,625,6911.5185546875
7,-467.156585,588,8152.87646484375
8,-748.293498,410,3741.928955078125
9,304.86367,983,4746.66455078125
10,847.767051,1000,2877.10888671875
11,910.0766,1000,1475.5391845703125
12,-65.00962,795,752.8176879882812
13,-783.085972,389,354.42022705078125
14,-435.322634,571,1717.9869384765625
15,-1050.772909,258,1776.587158203125
16,-1022.118649,260,1234.5850830078125
17,-746.186205,444,390.93682861328125
18,-1127.826412,203,1491.7730712890625
19,-837.957861,370,1124.743408203125
20,-690.992423,439,1781.751953125
21,-625.283714,482,1517.1348876953125
22,198.499884,914,1381.26513671875
23,-625.010452,487,682.470703125
24,820.793782,1000,1488.566162109375
25,-980.025715,283,905.9991455078125
26,-208.046635,703,367.9803771972656
27,-212.232466,705,2572.4091796875
28,-53.427898,815,692.2181396484375
29,-182.292214,719,848.9281005859375
30,-28.139105,828,2245.857421875
31,-24.085762,816,616.38427734375
32,-307.696767,662,1997.31494140625
33,-289.036634,658,676.6988525390625
34,-497.006785,548,1490.567138671875
35,-754.068193,445,1290.3056640625
36,111.087143,882,607.9608154296875
37,96.97954,890,1158.90380859375
38,-1302.677783,117,1088.841064453125
39,905.330067,1000,1070.7677001953125
40,-601.825814,490,796.6438598632812
41,-130.297569,746,2032.57421875
42,863.912858,1000,2001.76025390625
43,843.034441,1000,1035.8699951171875
44,-709.983575,438,2334.6669921875
45,-684.403709,449,855.273193359375
46,269.617754,968,501.61761474609375
47,-1348.37485,88,1007.5972900390625
48,-438.302389,580,541.6046142578125
49,-627.50644,467,592.4657592773438
50,-580.908475,534,552.747314453125
51,-992.942813,278,584.020751953125
52,-990.182982,279,1502.656982421875
53,-1198.077454,170,2470.31982421875
54,-864.792864,363,1153.2745361328125
55,-141.121994,743,1627.095947265625
56,-677.294501,455,1164.9033203125
57,-949.08289,297,1284.896240234375
58,75.350174,862,2022.09228515625
59,-233.833251,708,1221.807373046875
60,-740.250085,431,2961.24951171875
61,-408.363532,614,1221.9876708984375
62,-982.399755,290,3528.16455078125
63,-452.755262,594,1054.6676025390625
64,-607.711822,482,913.1139526367188
65,-334.273114,646,1812.640380859375
66,-831.198327,383,944.5948486328125
67,-667.116957,483,1227.900146484375
68,-1015.171799,270,992.9866943359375
69,-293.845475,655,888.826416015625
70,-273.874033,680,1950.911376953125
71,-820.602101,376,549.370361328125
72,-264.254613,674,1814.841796875
73,-474.641607,568,1241.922607421875
74,-658.698821,460,2542.1201171875
75,-177.897783,701,1690.8470458984375
76,-352.215693,627,861.420654296875
77,-1191.216967,176,1142.65625
78,177.818253,914,680.58154296875
79,-643.302203,472,1391.9189453125
80,-576.14099,501,674.5074462890625
81,244.84433,981,857.681884765625
82,-1204.023913,167,2015.1268310546875
83,863.388292,1000,1434.5875244140625
84,47.383758,854,1117.761962890625
85,-878.578571,353,963.0733642578125
86,-325.121094,652,2599.8173828125
87,2.226304,822,815.2578125
88,-511.67864,572,1165.915283203125
89,10.925185,845,1242.322265625
90,-447.680503,584,487.27587890625
91,-175.07204,708,2049.1611328125
92,-646.953141,469,1812.939453125
93,-71.275302,792,704.2587890625
94,-445.884205,584,910.3096923828125
95,-944.623912,313,2586.74267578125
96,-833.976674,380,759.641845703125
97,75.026019,891,792.9436645507812
98,-607.234609,480,1508.77001953125
99,-359.139862,656,786.648193359375
100,-799.807041,395,792.9679565429688
101,-1169.077854,184,897.8411865234375
102,-362.609624,645,769.234375
103,222.827885,962,721.6804809570312
104,-415.635961,596,1377.099365234375
105,-1044.807624,259,1144.5009765625
106,-1017.204168,270,624.55029296875
107,-834.748706,386,765.589599609375
108,-307.106508,645,799.27099609375
109,-249.078353,671,844.96337890625
110,-1012.123412,272,489.3376159667969
111,-1168.950047,187,1140.37060546875
112,-1033.931765,277,952.491943359375
113,-119.769478,765,864.3938598632812
114,-570.812915,509,1204.228271484375
115,892.628,1000,905.524169921875
116,-268.128459,681,527.342529296875
117,-844.020109,376,846.5126953125
118,-962.988953,283,1381.0445556640625
119,-187.030075,741,1144.559814453125
120,-397.914051,611,1112.80419921875
121,-397.778932,629,2898.775146484375
122,-1207.804362,167,1180.842041015625
123,-1132.591695,210,2181.29296875
124,-81.018803,769,532.0869140625
125,-696.524481,463,1184.0469970703125
126,-818.478097,374,1230.223876953125
127,-464.654438,557,529.2988891601562
128,-1312.359404,107,598.37841796875
129,-834.630585,388,2037.5947265625
130,-270.868825,680,996.72607421875
131,-1009.099024,268,1833.7349853515625
132,-845.110796,367,431.5086669921875
133,-990.477164,277,933.2498779296875
134,-185.113716,738,467.1346740722656
135,-889.114977,337,874.3524169921875
136,-976.755477,303,616.779541015625
137,-269.650394,670,1384.8408203125
138,-679.821461,444,584.5421142578125
139,29.714363,859,758.7752685546875
140,-1058.31019,265,497.1926574707031
141,-834.341474,379,660.4193725585938
142,-798.158212,409,997.9061279296875
143,-978.38142,283,1241.0068359375
144,-1171.135341,184,922.7066650390625
145,-739.311614,422,915.4403076171875
146,-359.117602,618,831.35595703125
147,-1166.512406,189,1959.336181640625
148,-1197.75999,176,1080.5501708984375
149,-1021.529477,258,1373.768310546875
150,-709.688458,416,1534.506591796875
151,849.82761,1000,1109.02587890625
152,878.712557,1000,1075.7032470703125
153,-1148.276197,191,606.046630859375
154,-710.690272,443,1593.26318359375
155,-747.301494,419,1507.0810546875
156,-624.489225,483,1026.0078125
157,-924.228588,334,1035.09326171875
158,-601.334249,521,1846.9892578125
159,-1130.757085,210,1577.283935546875
160,-365.377905,623,1988.618408203125
161,873.653579,1000,691.8233642578125
162,-494.762738,578,1638.9598388671875
163,-759.080794,418,955.6797485351562
164,-858.043679,367,1192.6270751953125
165,-472.618235,579,486.37835693359375
166,-1036.497135,258,1800.1932373046875
167,-1169.600201,187,1028.310302734375
168,-707.568015,458,512.7472534179688
169,-876.720245,349,1010.282958984375
170,-833.919321,375,1397.787841796875
171,-1193.638165,175,2447.419921875
172,-456.53748,583,905.3116455078125
173,-840.492813,356,906.6065063476562
174,-781.713215,408,706.4320068359375
175,-84.44344,774,1371.3870849609375
176,-603.622375,518,1685.167724609375
177,-942.383491,308,579.342041015625
178,-592.466218,487,923.0297241210938
179,925.951969,1000,869.821044921875
180,-910.494772,334,777.0257568359375
181,-836.576912,373,615.8667602539062
182,-850.355147,355,555.3974609375
183,93.005316,881,581.4080200195312
184,-938.807114,310,2291.5498046875
185,-790.277048,395,773.4686889648438
186,-91.809176,776,1697.3131103515625
187,-809.029414,377,807.706298828125
188,-990.503703,278,627.2373657226562
189,-1146.457239,188,566.1749267578125
190,-616.62701,500,591.6036376953125
191,-280.762566,664,1189.89990234375
192,-930.6546,318,648.2042236328125
193,-864.051825,352,1465.0517578125
194,-305.887154,672,1085.1251220703125
195,-230.348553,700,1319.12353515625
196,166.070778,903,555.5682983398438
197,-320.111376,687,1044.471923828125
