episode,return,length,loss
1,42.554283,243,0.0
2,92.40456,256,0.0
3,182.938139,271,0.0
4,191.895114,374,0.0
5,161.957968,378,0.0
6,235.809064,383,0.0
7,151.18137,384,0.0
8,305.483492,385,0.0
9,299.030109,386,0.0
10,271.325546,389,0.0
11,345.786216,400,0.0
12,242.093608,401,0.0
13,239.405233,415,0.0
14,45.846303,238,0.0
15,103.097104,264,0.0
16,395.400799,540,0.0
17,45.303392,236,0.0
18,601.17357,639,0.0
19,19.933213,263,0.0
20,132.511347,286,0.0
21,116.1828,289,0.0
22,141.651541,319,0.0
23,204.846301,388,0.0
24,296.056609,358,0.0
25,10.440839,256,0.0
26,281.683388,385,0.0
27,802.536655,792,0.0
28,564.270398,639,0.0
29,39.037075,253,0.0
30,50.260169,233,0.0
31,274.356689,438,0.0
32,133.891535,279,0.0
33,127.46784,267,0.0
34,108.713488,364,0.0
35,166.888991,248,0.0
