episode,return,length,loss
1,27.858745,249,0.0
2,129.677387,255,0.0
3,134.252229,267,0.0
4,306.740185,378,0.0
5,126.008397,381,0.0
6,163.556653,424,0.0
7,328.048558,453,0.0
8,598.685472,641,140.97365772724152
9,266.229729,378,140.97738456726074
10,-32.884788,329,139.6432762145996
11,189.566509,503,61.19289982318878
12,-132.369701,394,99.35988181829453
13,55.264642,518,98.66817200183868
14,-416.969322,420,116.46202802658081
15,-96.866791,685,116.46202802658081
16,227.585801,1000,96.88612747192383
17,-587.9691,494,58.72758585214615
18,-477.989373,451,38.90532433986664
19,-248.897435,235,77.15840983390808
20,-459.345704,690,95.91271018981934
21,-333.066429,527,0.0
22,-571.212492,838,0.0
23,32.906536,1000,95.38803428411484
24,-441.858873,908,132.18454933166504
25,41.924911,269,188.1063575744629
26,267.160062,385,112.50591659545898
27,45.061013,263,208.43019485473633
28,-14.148026,675,116.517333984375
29,223.313399,394,57.35125955939293
30,-132.516777,378,133.16788625717163
31,105.755718,522,91.93402177095413
32,344.079023,560,166.88092041015625
33,-40.460809,282,113.6499165892601
34,193.770575,378,207.13101959228516
35,-225.440757,256,124.64527589082718
36,235.286338,400,185.5615234375
37,174.506884,330,158.45993041992188
38,57.514983,426,71.69919377565384
39,68.665584,235,75.9502182006836
40,124.045344,243,168.18165582418442
41,142.737899,308,147.20776772499084
42,294.206395,524,149.00067853927612
43,150.282537,427,94.71753692626953
44,107.60969,267,94.71753692626953
45,69.72283,503,133.65671038627625
46,148.467453,526,75.34704101085663
47,-6.286714,291,153.4021145105362
48,39.98725,285,174.10697746276855
49,381.756054,661,94.23080253601074
50,265.541535,409,164.0909881591797
51,-149.042945,429,77.15272903442383
52,127.76751,294,159.42646598815918
53,80.171457,554,74.78476428985596
54,122.951724,373,71.1525741815567
55,-33.187118,278,150.18519794940948
56,46.953716,340,66.48880916833878
57,-39.091636,169,209.25016975402832
58,286.303806,682,90.28651022911072
59,-151.124845,268,77.67217445373535
60,104.107787,362,124.36778450012207
61,102.216248,543,223.59335327148438
62,-97.402303,264,174.35967254638672
63,-10.556255,249,169.81970596313477
64,233.375754,669,152.72669792175293
65,-238.142987,669,108.46065330505371
66,444.947033,576,106.60538291931152
67,98.805466,292,124.71085548400879
68,164.417727,849,100.66217768192291
69,-36.90726,283,132.41294479370117
70,264.879051,624,152.58320236206055
71,290.683267,689,119.01349115371704
72,106.60274,889,86.98389625549316
73,181.054789,491,115.41191565990448
74,49.629165,488,103.72519850730896
75,338.657633,401,132.99094593524933
76,460.292508,1000,107.09654998779297
77,-103.327598,507,118.61422204971313
78,42.267664,268,118.69742965698242
79,61.653648,277,165.59878253936768
80,-32.011141,397,122.97749710083008
81,123.485641,406,94.41592335700989
82,125.491971,406,90.8800573348999
83,233.259042,661,148.8906364440918
84,216.033247,385,72.41747498512268
85,141.350315,296,134.37847661972046
86,133.188226,241,67.15870761871338
87,185.765114,282,103.01437270641327
88,182.744312,407,91.04832029342651
89,176.270658,340,89.71545732021332
90,93.987418,258,152.3095588684082
91,80.303098,279,139.7314510345459
92,94.555534,211,113.72950744628906
93,134.916565,282,130.74624252319336
94,376.636373,523,66.85289239883423
95,-35.573953,393,144.09610748291016
96,248.435511,381,182.38562393188477
97,-185.908796,215,109.58505487442017
98,206.7359,388,191.45878219604492
99,66.963309,290,160.72472381591797
100,172.908991,288,107.75634002685547
101,246.013243,420,147.51856231689453
102,277.645293,394,106.68696975708008
103,143.315835,291,99.80381774902344
104,83.984935,301,70.09678864479065
105,649.648232,685,109.89435863494873
106,37.405911,271,96.08989524841309
107,279.03521,391,136.51929473876953
108,116.995569,279,145.15988540649414
109,425.682759,533,119.33232688903809
110,271.950507,448,139.8327350616455
111,59.188929,283,65.03133249282837
112,312.880899,532,103.72695827484131
113,109.016231,295,85.56594705581665
114,270.85989,383,103.5191445350647
115,126.989908,229,73.13568115234375
116,178.847108,275,133.80589628219604
117,347.95069,395,135.80193328857422
118,122.77269,251,108.97059774398804
119,142.040608,242,95.97441291809082
120,292.872917,413,148.1108627319336
121,85.277691,274,67.57347583770752
122,296.314354,523,58.20418643951416
123,154.193599,271,110.82492065429688
124,97.067829,253,150.34346771240234
125,133.541025,281,0.0
126,161.775965,283,97.31112813949585
127,444.039702,648,83.19808721542358
128,303.602007,425,198.32837867736816
129,170.858238,258,111.73588943481445
130,334.270598,391,224.6850471496582
131,47.043071,389,224.6850471496582
132,273.920451,398,123.02309703826904
133,285.868916,422,193.78573989868164
134,113.473765,237,153.095064163208
